"","name","area","overlap","abbrev_state","perc"
"1","Carmolândia-TO",0.03,0.03,"TO",100
"2","Carrasco Bonito-TO",0.02,0.02,"TO",100
"3","Sampaio-TO",0.02,0.02,"TO",100
"4","Agricolândia-PI",0.01,0.01,"PI",100
"5","Água Branca-PI",0.01,0.01,"PI",100
"6","Alto Longá-PI",0.17,0.17,"PI",100
"7","Angical Do Piauí-PI",0.02,0.02,"PI",100
"8","Aroazes-PI",0.08,0.08,"PI",100
"9","Avelino Lopes-PI",0.13,0.13,"PI",100
"10","Barra D'alcântara-PI",0.03,0.03,"PI",100
"11","Barro Duro-PI",0.01,0.01,"PI",100
"12","Batalha-PI",0.16,0.16,"PI",100
"13","Beneditinos-PI",0.08,0.08,"PI",100
"14","Boa Hora-PI",0.03,0.03,"PI",100
"15","Boqueirão Do Piauí-PI",0.03,0.03,"PI",100
"16","Cabeceiras Do Piauí-PI",0.06,0.06,"PI",100
"17","Campo Maior-PI",0.17,0.17,"PI",100
"18","Capitão De Campos-PI",0.06,0.06,"PI",100
"19","Caraúbas Do Piauí-PI",0.05,0.05,"PI",100
"20","Caxingó-PI",0.05,0.05,"PI",100
"21","Cocal De Telha-PI",0.03,0.03,"PI",100
"22","Coivaras-PI",0.05,0.05,"PI",100
"23","Curralinhos-PI",0.03,0.03,"PI",100
"24","Elesbão Veloso-PI",0.14,0.14,"PI",100
"25","Esperantina-PI",0.09,0.09,"PI",100
"26","Francinópolis-PI",0.03,0.03,"PI",100
"27","Hugo Napoleão-PI",0.02,0.02,"PI",100
"28","Ilha Grande-PI",0.01,0.01,"PI",100
"29","Jardim Do Mulato-PI",0.05,0.05,"PI",100
"30","Jatobá Do Piauí-PI",0.07,0.07,"PI",100
"31","Joaquim Pires-PI",0.07,0.07,"PI",100
"32","Joca Marques-PI",0.02,0.02,"PI",100
"33","Lagoinha Do Piauí-PI",0.01,0.01,"PI",100
"34","Lagoa Do Piauí-PI",0.04,0.04,"PI",100
"35","Miguel Leão-PI",0.01,0.01,"PI",100
"36","Monsenhor Gil-PI",0.06,0.06,"PI",100
"37","Morro Do Chapéu Do Piauí-PI",0.03,0.03,"PI",100
"38","Nossa Senhora De Nazaré-PI",0.04,0.04,"PI",100
"39","Nossa Senhora Dos Remédios-PI",0.04,0.04,"PI",100
"40","Novo Oriente Do Piauí-PI",0.05,0.05,"PI",100
"41","Novo Santo Antônio-PI",0.05,0.05,"PI",100
"42","Olho D'água Do Piauí-PI",0.02,0.02,"PI",100
"43","Palmeirais-PI",0.15,0.15,"PI",100
"44","Passagem Franca Do Piauí-PI",0.09,0.09,"PI",100
"45","Pau D'arco Do Piauí-PI",0.04,0.04,"PI",100
"46","Prata Do Piauí-PI",0.02,0.02,"PI",100
"47","Santa Cruz Dos Milagres-PI",0.1,0.1,"PI",100
"48","São Félix Do Piauí-PI",0.07,0.07,"PI",100
"49","São Gonçalo Do Piauí-PI",0.02,0.02,"PI",100
"50","São João Da Serra-PI",0.1,0.1,"PI",100
"51","São José Do Divino-PI",0.03,0.03,"PI",100
"52","São Miguel Da Baixa Grande-PI",0.04,0.04,"PI",100
"53","São Pedro Do Piauí-PI",0.05,0.05,"PI",100
"54","Sigefredo Pacheco-PI",0.1,0.1,"PI",100
"55","Várzea Grande-PI",0.02,0.02,"PI",100
"56","Parnamirim-RN",0.01,0.01,"RN",100
"57","Espírito Santo-RN",0.01,0.01,"RN",100
"58","Cuité De Mamanguape-PB",0.01,0.01,"PB",100
"59","Itabaiana-PB",0.02,0.02,"PB",100
"60","Pilar-PB",0.01,0.01,"PB",100
"61","São José Dos Ramos-PB",0.01,0.01,"PB",100
"62","Sobrado-PB",0.01,0.01,"PB",100
"63","Angelim-PE",0.01,0.01,"PE",100
"64","Brejão-PE",0.02,0.02,"PE",100
"65","Calçado-PE",0.01,0.01,"PE",100
"66","Cupira-PE",0.01,0.01,"PE",100
"67","Ibirajuba-PE",0.02,0.02,"PE",100
"68","Jucati-PE",0.01,0.01,"PE",100
"69","Jurema-PE",0.01,0.01,"PE",100
"70","Machados-PE",0.01,0.01,"PE",100
"71","Orobó-PE",0.01,0.01,"PE",100
"72","São Joaquim Do Monte-PE",0.02,0.02,"PE",100
"73","São Vicente Ferrer-PE",0.01,0.01,"PE",100
"74","Vicência-PE",0.02,0.02,"PE",100
"75","Coité Do Nóia-AL",0.01,0.01,"AL",100
"76","Canhoba-SE",0.02,0.02,"SE",100
"77","Nossa Senhora De Lourdes-SE",0.01,0.01,"SE",100
"78","São Domingos-SE",0.01,0.01,"SE",100
"79","Carinhanha-BA",0.27,0.27,"BA",100
"80","Feira Da Mata-BA",0.16,0.16,"BA",100
"81","Iuiú-BA",0.15,0.15,"BA",100
"82","Malhada-BA",0.2,0.2,"BA",100
"83","São Félix Do Coribe-BA",0.1,0.1,"BA",100
"84","Serra Do Ramalho-BA",0.26,0.26,"BA",100
"85","Sítio Do Mato-BA",0.18,0.18,"BA",100
"86","Capetinga-MG",0.03,0.03,"MG",100
"87","Capitão Enéas-MG",0.1,0.1,"MG",100
"88","Claraval-MG",0.02,0.02,"MG",100
"89","Conquista-MG",0.06,0.06,"MG",100
"90","Delta-MG",0.01,0.01,"MG",100
"91","Igarapé-MG",0.01,0.01,"MG",100
"92","Itamogi-MG",0.02,0.02,"MG",100
"93","Juatuba-MG",0.01,0.01,"MG",100
"94","Mamonas-MG",0.03,0.03,"MG",100
"95","Nova Porteirinha-MG",0.01,0.01,"MG",100
"96","São Sebastião Do Paraíso-MG",0.08,0.08,"MG",100
"97","São Tomás De Aquino-MG",0.03,0.03,"MG",100
"98","Americana-SP",0.01,0.01,"SP",100
"99","Américo Brasiliense-SP",0.01,0.01,"SP",100
"100","Artur Nogueira-SP",0.02,0.02,"SP",100
"101","Barrinha-SP",0.01,0.01,"SP",100
"102","Bom Sucesso De Itararé-SP",0.01,0.01,"SP",100
"103","Cosmópolis-SP",0.02,0.02,"SP",100
"104","Cosmorama-SP",0.04,0.04,"SP",100
"105","Cravinhos-SP",0.03,0.03,"SP",100
"106","Dobrada-SP",0.01,0.01,"SP",100
"107","Dumont-SP",0.01,0.01,"SP",100
"108","Engenheiro Coelho-SP",0.01,0.01,"SP",100
"109","Guariba-SP",0.03,0.03,"SP",100
"110","Holambra-SP",0.01,0.01,"SP",100
"111","Igarapava-SP",0.05,0.05,"SP",100
"112","Ipiguá-SP",0.01,0.01,"SP",100
"113","Ipuã-SP",0.05,0.05,"SP",100
"114","Itápolis-SP",0.1,0.1,"SP",100
"115","Itirapuã-SP",0.02,0.02,"SP",100
"116","Itobi-SP",0.01,0.01,"SP",100
"117","Jaborandi-SP",0.03,0.03,"SP",100
"118","Jaguariúna-SP",0.01,0.01,"SP",100
"119","Jardinópolis-SP",0.05,0.05,"SP",100
"120","Matão-SP",0.05,0.05,"SP",100
"121","Mirassolândia-SP",0.02,0.02,"SP",100
"122","Morro Agudo-SP",0.14,0.14,"SP",100
"123","Motuca-SP",0.02,0.02,"SP",100
"124","Onda Verde-SP",0.02,0.02,"SP",100
"125","Orindiúva-SP",0.02,0.02,"SP",100
"126","Paulínia-SP",0.01,0.01,"SP",100
"127","Pontal-SP",0.04,0.04,"SP",100
"128","Restinga-SP",0.02,0.02,"SP",100
"129","Ribeirão Corrente-SP",0.01,0.01,"SP",100
"130","Santa Cruz Da Esperança-SP",0.01,0.01,"SP",100
"131","Santa Ernestina-SP",0.01,0.01,"SP",100
"132","São Joaquim Da Barra-SP",0.04,0.04,"SP",100
"133","Sebastianópolis Do Sul-SP",0.02,0.02,"SP",100
"134","Serrana-SP",0.01,0.01,"SP",100
"135","Sertãozinho-SP",0.04,0.04,"SP",100
"136","Tabatinga-SP",0.04,0.04,"SP",100
"137","Tanabi-SP",0.07,0.07,"SP",100
"138","Taquarivaí-SP",0.02,0.02,"SP",100
"139","Terra Roxa-SP",0.02,0.02,"SP",100
"140","Torrinha-SP",0.03,0.03,"SP",100
"141","Valentim Gentil-SP",0.01,0.01,"SP",100
"142","Votuporanga-SP",0.04,0.04,"SP",100
"143","Arroio Do Sal-RS",0.01,0.01,"RS",100
"144","Augusto Pestana-RS",0.03,0.03,"RS",100
"145","Boa Vista Das Missões-RS",0.02,0.02,"RS",100
"146","Campinas Do Sul-RS",0.03,0.03,"RS",100
"147","Capão Da Canoa-RS",0.01,0.01,"RS",100
"148","Chiapetta-RS",0.04,0.04,"RS",100
"149","Coxilha-RS",0.04,0.04,"RS",100
"150","Dois Irmãos Das Missões-RS",0.02,0.02,"RS",100
"151","Entre Rios Do Sul-RS",0.01,0.01,"RS",100
"152","Inhacorá-RS",0.01,0.01,"RS",100
"153","Ipiranga Do Sul-RS",0.02,0.02,"RS",100
"154","Novo Hamburgo-RS",0.02,0.02,"RS",100
"155","Pontão-RS",0.05,0.05,"RS",100
"156","Ronda Alta-RS",0.04,0.04,"RS",100
"157","São Leopoldo-RS",0.01,0.01,"RS",100
"158","Senador Salgado Filho-RS",0.01,0.01,"RS",100
"159","Tabaí-RS",0.01,0.01,"RS",100
"160","Ubiretama-RS",0.01,0.01,"RS",100
"161","Coronel Sapucaia-MS",0.1,0.1,"MS",100
"162","Buritirama-BA",0.4,0.39,"BA",97.5
"163","Muquém De São Francisco-BA",0.37,0.36,"BA",97.3
"164","Santana-BA",0.18,0.17,"BA",94.44
"165","Barras-PI",0.17,0.16,"PI",94.12
"166","Aral Moreira-MS",0.17,0.16,"MS",94.12
"167","Wanderley-BA",0.3,0.28,"BA",93.33
